name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
STRATEX OIL & GAS HOLDINGS INC,STTX,1482361,86280B105,OTC,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Connecticut; U.S.A,f1ace3d0cf747cd7f27f348e4c16fa3a
SAVICORP,SVMI,1096637,80517R207,OTC,True,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,California; U.S.A,ef96a7fe2526669284a5393f3da7a891
TAMARAK INC,TAMK,1169389,87505T103,OTC,True,Domestic Common Stock,Communication Services,Entertainment,7812,Services,Services-Motion Picture & Video Tape Production,,Entertainment,USD,California; U.S.A,7be0d941551c0091fe5113836dfa54b5
T BANCSHARES INC,TBNC,1272754,872229109,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6021,Finance Insurance And Real Estate,National Commercial Banks,,Banking,USD,Texas; U.S.A,15faee42360461367edec262f471b792
TEMPUS APPLIED SOLUTIONS HOLDINGS INC,TMPS,1628871,88024L100,OTC,True,Domestic Common Stock,Industrials,Travel Services,4700,Transportation Communications Electric Gas And Sanitary Service,Transportation Services,,Transportation,USD,Virginia; U.S.A,60d3b25c134e516133becdb988334f50
TROPICANA ENTERTAINMENT INC,TPCA,1476246,89708X105,OTC,True,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Nevada; U.S.A,dc87e797dee1e225c3a2707d4877b2b4
U S PRECIOUS METALS INC,USPR,1286181,91239R102,OTC,True,Domestic Common Stock,Basic Materials,Other Industrial Metals & Mining,1000,Mining,Metal Mining,,Non-Metallic and Industrial Metal Mining,USD,New Jersey; U.S.A,9db2b918788a1a0d0dcbf3fc4b984ffc
UNILENS VISION INC,UVIC,852564,904907201,OTC,True,Domestic Common Stock,Healthcare,Medical Instruments & Supplies,3851,Manufacturing,Ophthalmic Goods,,Medical Equipment,USD,British Columbia; Canada,47b99875f285cb9b0eba3e5f7943c60a
VALLEY COMMERCE BANCORP,VCBP,1302244,919518100,OTC,True,Domestic Common Stock,Financial Services,Banks - Regional,6022,Finance Insurance And Real Estate,State Commercial Banks,,Banking,USD,California; U.S.A,3660097002a93c33698ab60351674826
VOCALSCAPE NETWORKS INC,VCSC,1083721,26250P304,OTC,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,New York; U.S.A,f559c52186555ac466e0ea9f015e6367
