name,ticker,cik,cusip,exchange,isDelisted,category,sector,industry,sic,sicSector,sicIndustry,famaSector,famaIndustry,currency,location,id
GREENHUNTER RESOURCES INC,GRHHQ,1410056,39530A104,NYSEMKT,True,Domestic Common Stock,Basic Materials,Specialty Chemicals,2860,Manufacturing,Industrial Organic Chemicals,,Chemicals,USD,Texas; U.S.A,a531a787fabc80f56c633581f6f0635a
GRISTEDES FOODS INC,GRI1,28325,398635102,NYSEMKT,True,Domestic Common Stock,Consumer Defensive,Grocery Stores,5411,Retail Trade,Retail-Grocery Stores,,Retail,USD,New York; U.S.A,f43f49da737635219f596377ebb34372
GOLD ROYALTY CORP,GROY,1834026,38071H106,NYSEMKT,False,ADR Common Stock Primary Class,Basic Materials,Other Precious Metals & Mining,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,British Columbia; Canada,89b4495d0ccc6e3b2ec5cb6d3cad4125
GLOBALSTAR INC,GSAT,1366868,378973408,NYSEMKT,False,Domestic Common Stock,Communication Services,Telecom Services,4899,Transportation Communications Electric Gas And Sanitary Service,Communications Services Nec,,Communication,USD,Louisiana; U.S.A,a2b5483810bf3c35d8a033ddd9845db6
GLOBALSCAPE INC,GSB,1112920,37940G109,NYSEMKT,True,Domestic Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,Texas; U.S.A,6da6407505d1918a1f2eabb7911c939e
GOLDEN STAR RESOURCES LTD,GSS,903571,38119T104 38119T807,NYSEMKT,True,Canadian Common Stock,Basic Materials,Gold,1040,Mining,Gold And Silver Ores,,Precious Metals,USD,Ontario; Canada,e9cdc20946459c075377d4e086865ac2
GASTAR EXPLORATION INC,GSTCQ,1431372,36729W202 367299203 367299104,NYSEMKT,True,Domestic Common Stock Primary Class,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,29de264f2c46e601c223358cdbf90d5a
GOLD STANDARD VENTURES CORP,GSV,1321847,380738104,NYSEMKT,True,Canadian Common Stock,Basic Materials,Gold,1400,Mining,Mining & Quarrying Of Nonmetallic Minerals (No Fuels),,Non-Metallic and Industrial Metal Mining,CAD,British Columbia; Canada,88634487e6fece6411394126e09c441e
GASCO ENERGY INC,GSXN,1086319,367220100,NYSEMKT,True,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Colorado; U.S.A,73ae23ba08dfcaf048524bac37a84a21
GRAN TIERRA ENERGY INC,GTE,1273441,38500T101 38500T200,NYSEMKT,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Alberta; Canada,7fdfac9a9b85ceea81bb68a310c6c9fa
GLOBAL TECHNOVATIONS INC,GTNOQ,800055,890530108 37939M109,NYSEMKT,True,Domestic Common Stock,Basic Materials,Building Products & Equipment,3089,Manufacturing,Plastics Products Nec,,Rubber and Plastic Products,USD,Florida; U.S.A,bc9334c64911d2d3a325eb7146c9d40e
GULL LABORATORIES INC,GUL,832404,402901201,NYSEMKT,True,Domestic Common Stock,Healthcare,Biotechnology,2835,Manufacturing,In Vitro & In Vivo Diagnostic Substances,,Pharmaceutical Products,USD,Utah; U.S.A,ada96f8fc392e259cc7fa452b772d626
GOLDFIELD CORP,GV1,42316,381370105,NYSEMKT,True,Domestic Common Stock,Industrials,Engineering & Construction,1623,Construction,Water Sewer Pipeline Comm & Power Line Construction,,Construction,USD,Florida; U.S.A,3215fe60c1fe68fe43241a74835a7aa9
GROVE PROPERTY TRUST,GVE,920776,399613108,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Connecticut; U.S.A,9fd7008662d99894938a812d0b941db0
VI GROUP PLC,GVI1,1132446,92554H109,NYSEMKT,True,ADR Common Stock,Technology,Software - Application,7372,Services,Services-Prepackaged Software,,Business Services,USD,United Kingdom,be88367d308c703a02aece4adfd541fd
GLACIER WATER SERVICES INC,GWSV,883505,376395109,NYSEMKT,True,Domestic Common Stock,Communication Services,Internet Content & Information,5960,Retail Trade,Retail-Nonstore Retailers,,Retail,USD,California; U.S.A,3d928d73b5a02f57702f87348bfa7a25
GALAXY NUTRITIONAL FOODS INC,GXYF,819527,36317Q104 363175209 363175100,NYSEMKT,True,Domestic Common Stock,Consumer Defensive,Packaged Foods,2020,Manufacturing,Dairy Products,,Food Products,USD,Florida; U.S.A,aa2b45dbebb782ecc236be57b0303aa4
HAMPTON INDUSTRIES INC,HAI,45260,409189107,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Apparel Manufacturing,2320,Manufacturing,Men'S & Boys' Furnishgs Work Clothg & Allied Garments,,Apparel,USD,North Carolina; U.S.A,2e6fa9b45cee7e8f9630f28a3ae97dbf
HALIFAX CORP OF VIRGINIA,HALX,720671,405752106,NYSEMKT,True,Domestic Common Stock,Communication Services,Internet Content & Information,7370,Services,Services-Computer Programming Data Processing Etc.,,Business Services,USD,Virginia; U.S.A,e813286ca268d5cf1292e08b3254798e
HELIX BIOPHARMA CORP,HBPCF,1305591,422910109,NYSEMKT,True,ADR Common Stock,Healthcare,Biotechnology,2834,Manufacturing,Pharmaceutical Preparations,,Pharmaceutical Products,CAD,Oman,e52872909cdbdc5df693d80f5e7d501b
HAYWOOD BANCSHARES INC,HBS,940941,421334103,NYSEMKT,True,Domestic Common Stock,Financial Services,Banks - Regional,6036,Finance Insurance And Real Estate,Savings Institutions Not Federally Chartered,,Banking,USD,North Carolina; U.S.A,0183e17e3c7141c0b281aa861bffa2c0
WOLF HOWARD B INC,HBW,108018,977725100,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Apparel Retail,2330,Manufacturing,Women'S Misses' And Juniors Outerwear,,Apparel,USD,Texas; U.S.A,3edbbc4bfcf35d87a2bdb55ff2cbb571
HELM CAPITAL GROUP INC,HCGI,351685,423418102 423425206,NYSEMKT,True,Domestic Common Stock,Financial Services,Credit Services,6199,Finance Insurance And Real Estate,Finance Services,,Banking,USD,Florida; U.S.A,e6e7c5200b848416e06ca835c732d245
HPSC INC,HDR,718909,404264103,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Distribution,6172,Finance Insurance And Real Estate,Finance Lessors,,Banking,USD,Massachusetts; U.S.A,b97c0abd0ce9e7636701de9e22393b4d
HEARUSA INC,HEARQ,821536,422360305 422360107,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Specialty Retail,5990,Retail Trade,Retail-Retail Stores Nec,,Retail,USD,Florida; U.S.A,dc3d8429d0abcc293e9dc99960cdfcce
HEMOSENSE INC,HEM,1127393,423691104,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Devices,3841,Manufacturing,Surgical & Medical Instruments & Apparatus,,Medical Equipment,USD,California; U.S.A,6d5e820dc280f76aef947bb376435cc5
HALLWOOD ENERGY PARTNERS LP,HEP1,768172,40636P201,NYSEMKT,True,Domestic Common Stock Primary Class,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Colorado; U.S.A,fb8c8c6205fcf22d9a28ffa33f654bb0
HOST FUNDING INC,HFD.A,945980,441072105,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,California; U.S.A,9759065c780b438ada03bac4fea634be
HUDSON GENERAL CORP,HGC,48948,443784103,NYSEMKT,True,Domestic Common Stock,Industrials,Airports & Air Services,4581,Transportation Communications Electric Gas And Sanitary Service,Airports Flying Fields & Airport Terminal Services,,Transportation,USD,New York; U.S.A,378ede76307500a6b1f9b174743513a4
HASTINGS MANUFACTURING CO,HGMG,46109,418398103,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Auto Parts,3714,Manufacturing,Motor Vehicle Parts & Accessories,,Automobiles and Trucks,USD,Michigan; U.S.A,1331cf00fdf264cabfd6d22b103a44f9
HIGHLANDS ACQUISITION CORP,HIA2,1398632,430880104 430880203,NYSEMKT,True,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,New Jersey; U.S.A,7cd9d0a25fdc62e5d63d41d2ee42b3a7
DIVERSIFIED CORPORATE RESOURCES INC,HIRD,779226,255153108,NYSEMKT,True,Domestic Common Stock,Industrials,Staffing & Employment Services,7361,Services,Services-Employment Agencies,,Business Services,USD,Texas; U.S.A,30478d832d13004ba1fd2c5b325e667e
HALTER MARINE GROUP INC,HLX1,1017646,40642Y105,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Recreational Vehicles,3730,Manufacturing,Ship & Boat Building & Repairing,,Shipbuilding Railroad Equipment,USD,Mississippi; U.S.A,63e62c25a6283fa9c240fa2a7b7223d2
HMG COURTLAND PROPERTIES INC,HMG,311817,404232100,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Retail,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Florida; U.S.A,75e412c05ff07f0a9f7ca5c1df5c18f2
SPORTS PROPERTIES ACQUISITION CORP,HMR,1412203,84920F107 84920F206,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Care Facilities,4100,Transportation Communications Electric Gas And Sanitary Service,Local & Suburban Transit & Interurban Hwy Passenger Trans,,Transportation,USD,New York; U.S.A,0bab9528a0b1c406674264a19e2d4008
HOME SECURITY INTERNATIONAL INC,HMSI,1038262,437333107,NYSEMKT,True,Domestic Common Stock,Industrials,Security & Protection Services,7381,Services,Services-Detective Guard & Armored Car Services,,Business Services,USD,Australia,642869a4cc9549ae313d703d02e16f14
HNR ACQUISITION CORP,HNRA,1842556,40472A102 40472A201,NYSEMKT,False,Domestic Common Stock Primary Class,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Texas; U.S.A,c7486e3656f527add6d2e6dbfdb3b8e7
HEALTH PROFESSIONALS INC,HPFS,879257,42219J206 42219J107,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8093,Services,Services-Specialty Outpatient Facilities Nec,,Healthcare,USD,Florida; U.S.A,f2d8554e83203a375eb301e267831ba5
HOOPER HOLMES INC,HPHWQ,741815,439104100 439104209,NYSEMKT,True,Domestic Common Stock,Healthcare,Medical Care Facilities,8090,Services,Services-Misc Health & Allied Services Nec,,Healthcare,USD,Kansas; U.S.A,0b3ebc770781646c7820845cff559e7f
HEALTHY PLANET PRODUCTS INC,HPP1,768260,42221N104,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Specialty Retail,2771,Manufacturing,Greeting Cards,,Printing and Publishing,USD,California; U.S.A,27bcc9c6a4835becd0b80559a197830a
HQ SUSTAINABLE MARITIME INDUSTRIES INC,HQSM,857073,40426A208 40426A109 742688104,NYSEMKT,True,Domestic Common Stock,Basic Materials,Agricultural Inputs,900,Agriculture Forestry And Fishing,Fishing Hunting And Trapping,,,USD,Washington; U.S.A,5888860ed5e7ac28183b2573e18e9319
HALLWOOD REALTY PARTNERS L P,HRY,865439,40636T203,NYSEMKT,True,Domestic Common Stock,Real Estate,Real Estate Services,6512,Finance Insurance And Real Estate,Operators Of Nonresidential Buildings,,Real Estate,USD,Texas; U.S.A,74973d07e7bb91577564f3fa101b4cb8
HOME SOLUTIONS OF AMERICA INC,HSOA,855424,437355100,NYSEMKT,True,Domestic Common Stock,Healthcare,Health Information Services,8741,Services,Services-Management Services,,Business Services,USD,Texas; U.S.A,5279b3aa0d16703853ae150efe48cb86
HI SHEAR TECHNOLOGY CORP,HSR,918027,42839Y104,NYSEMKT,True,Domestic Common Stock,Industrials,Aerospace & Defense,3760,Manufacturing,Guided Missiles & Space Vehicles & Parts,,Defense,USD,California; U.S.A,7d74d5dec595e66649823e4c5b08b525
HEARTLAND TECHNOLOGY INC,HTI1,831115,421979105 602302101,NYSEMKT,True,Domestic Common Stock,Industrials,Shell Companies,6770,Finance Insurance And Real Estate,Blank Checks,,Trading,USD,Illinois; U.S.A,ae964a70513ddc424c44091ea650d2d6
HEARTLAND PARTNERS L P,HTLLQ,843964,422357103,NYSEMKT,True,Domestic Common Stock,Real Estate,Real Estate - Diversified,6552,Finance Insurance And Real Estate,Land Subdividers & Developers (No Cemeteries),,Real Estate,USD,Illinois; U.S.A,87caf963a61157ca63b63394b0aeefaa
US GEOTHERMAL INC,HTM,1172136,90338S102 90338S201,NYSEMKT,True,Domestic Common Stock,Utilities,Utilities - Regulated Electric,4911,Transportation Communications Electric Gas And Sanitary Service,Electric Services,,Utilities,USD,Idaho; U.S.A,dbd8b312ac62875de9dce636a32f8892
HOUSTON AMERICAN ENERGY CORP,HUSA,1156041,44183U100 44183U209,NYSEMKT,False,Domestic Common Stock,Energy,Oil & Gas E&P,1311,Mining,Crude Petroleum & Natural Gas,,Petroleum and Natural Gas,USD,Texas; U.S.A,ad2f9bf21c91d13061dc1b53a88186cb
HUGHES TELEMATICS INC,HUTC,1410240,73104R102 73104R201 444486104 444486203,NYSEMKT,True,Domestic Common Stock,Technology,Communication Equipment,3669,Manufacturing,Communications Equipment Nec,,Electronic Equipment,USD,Georgia; U.S.A,14ecbc528440f16677339e2cd6554978
HEADWAY WORKFORCE SOLUTIONS INC,HWCR,914435,422101105 000946103,NYSEMKT,True,Domestic Common Stock,Industrials,Staffing & Employment Services,7363,Services,Services-Help Supply Services,,Business Services,USD,North Carolina; U.S.A,c415b75839bb02f67728e7ba2457df2c
HOLLYWOOD CASINO CORP,HWD.A,888245,436132203,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Texas; U.S.A,9f0ac2784ac0f60abf15611436e39eb0
HALLWOOD GROUP INC,HWG,355766,406364406,NYSEMKT,True,Domestic Common Stock,Industrials,Diversified Industrials,2221,Manufacturing,Broadwoven Fabric Mills Man Made Fiber & Silk,,Textiles,USD,Texas; U.S.A,dd3f518d335ede090266eec19ba1952d
HAWK CORP,HWK,849240,420089104,NYSEMKT,True,Domestic Common Stock,Industrials,Aerospace & Defense,3728,Manufacturing,Aircraft Parts & Auxiliary Equipment Nec,,Aircraft,USD,Ohio; U.S.A,80b14be9bc08e14b8d0ceec80471dcf4
HOTELWORKS COM INC,HWS,911434,44106N100 441473105 53222B106,NYSEMKT,True,Domestic Common Stock,Consumer Cyclical,Resorts & Casinos,7011,Services,Hotels & Motels,,Restaraunts Hotels Motels,USD,Florida; U.S.A,3cb009905889e5ecea8b47384e24266b
SHELBOURNE PROPERTIES I INC,HXD,1106036,821373107,NYSEMKT,True,Domestic Common Stock,Real Estate,REIT - Mortgage,6798,Finance Insurance And Real Estate,Real Estate Investment Trusts,,Trading,USD,Massachusetts; U.S.A,1a90f2c43fae13932b4664676c303e41
